transaction_amount,device_change,merchant_risk,geo_velocity,hour_of_day,fraud_label
496.8412681640831,0,0.37731024560557247,144.9993686131067,17,0
1931.724513031919,0,0.6533665342092828,95.55661517517558,22,1
447.6398129844989,0,0.5630964932073134,-9.709593327471822,20,0
1580.0279818448012,0,0.104549090640388,134.1572606330367,17,0
1241.2198764672517,0,0.13770608799639414,-11.925931163603536,7,0
471.22425026753467,0,0.22517936478542774,124.90586620611737,14,0
1045.3954614750683,0,0.43465770818175087,61.61077367144724,12,0
823.9217972047084,0,0.544136098255753,115.12666569669278,12,0
1359.5872552095902,0,0.3299709756469814,13.377582605271698,15,0
1870.2252230115723,0,0.40348655813713274,138.55838163530734,21,0
262.41376517712774,0,0.19424992639778058,6.751262694755553,19,0
3166.150149730489,0,0.8598224027027848,330.95944359718857,12,1
1119.93360221668,0,0.5836640556767348,30.095268611548235,19,0
1535.670038225233,0,0.23429946645729874,-7.7142426411249545,1,0
1306.5983141188447,0,0.3474129758002732,84.72637837942342,2,0
824.0153341305904,1,0.1430580552531869,170.30445589184808,14,0
1040.473032166691,0,0.37956832823148423,213.34526111600044,22,0
801.9870715982555,0,0.35139172092334026,84.85778935431239,18,0
1738.0035692992992,0,0.1722182420775388,135.8340637533761,12,0
1210.6558243359711,0,0.3210331065590375,91.60473189642686,4,0
2150.5953428765038,1,0.26705232604328166,104.94415973841063,21,0
1169.6695930926896,0,0.3609154376525947,62.89256744363806,5,0
845.7966165447685,0,0.3928271677143996,89.7538462711301,13,0
443.1428036935864,1,0.10424778930360476,106.87393523032142,3,0
298.4301618720275,0,0.4805029914747777,51.07701355618343,21,0
407.93202849725515,0,0.4565071459308704,76.1252850053506,18,0
1333.5633255057417,0,0.2831431931032611,77.07849405012558,22,0
1454.362511614967,0,0.12646796778440914,121.32016586652622,6,0
409.40464898393327,1,0.47746626989252516,26.69839141861597,3,0
1647.5191570380578,1,0.5775875802390662,77.42288956961742,1,0
958.4694741582803,0,0.2200757980110071,175.6002734526349,6,0
1273.3965059927746,0,0.261762306868519,138.20300762929688,2,0
2006.1103141277122,1,0.19190644474090748,147.45895244443525,14,0
1648.4196579327659,0,0.3884680616724199,81.22159200890171,0,0
3825.4756315749078,1,0.9722689022249593,415.330963717853,1,1
754.4038872923563,1,0.2780969717306897,130.11180833514626,9,0
124.09229933534743,0,0.44850650696713146,158.01277647654655,15,0
840.4233403787899,0,0.38005799150467423,-17.580145644144338,14,0
1094.4348805861528,0,0.29323128216396765,14.227934647507723,23,0
706.410236424408,1,0.3101248009037709,145.4722050701324,14,0
1134.3715164538476,0,0.38105544131161473,66.15553221155982,13,0
1238.4259414793842,0,0.10293236394358066,46.41396053709613,21,0
1087.5720090959608,0,0.13925493422680493,17.29195065021981,13,0
874.9987095882701,0,0.5406290338815058,52.24916492279453,5,0
1284.3273359833638,0,0.1389394945456454,9.881535828808765,13,0
1420.9703247847046,0,0.4534017981052526,184.55471363662386,16,0
654.800461278577,0,0.5600190820545263,78.87819740097133,17,0
1905.4661898731351,0,0.23534180215086556,77.10247291186413,19,0
1150.7059338578692,1,0.2852457185297571,109.40383375839158,18,0
1209.424811472424,0,0.3844607029223581,128.11725846332848,16,0
1924.4395911725783,1,0.6159791893144377,150.16932247089449,15,1
1316.6080656317508,0,0.5709527936302101,133.68109719537858,7,0
1676.5683169566225,0,0.46978162405563406,48.457722460457184,6,0
1343.5620826009122,0,0.14330988042734702,65.10665975215694,19,0
893.781312679781,0,0.4345770777674254,118.45158277211377,11,0
1380.7517626030508,1,0.30515186093633107,53.630546918019,8,0
628.1368963396691,0,0.3353504997455308,79.74466839863875,13,0
1254.2798528882615,0,0.12457419517258853,99.93818822124071,19,0
1183.3850046777695,0,0.1955310696731791,119.25925411551881,0,0
1095.9415713637302,0,0.4952568037668239,-8.884048118510066,9,0
1135.7312442805346,0,0.3269794165239299,115.73728249444726,16,0
259.0754772511805,0,0.25083112081557446,68.31379710741373,16,0
925.6375461295193,0,0.2920095369824791,115.37288554321904,16,0
1246.4224505705574,0,0.5271997566628401,118.84658461774143,3,0
1279.9281959987002,0,0.4744995087024785,160.39575305595787,16,0
686.1624295370209,0,0.2361576985905414,147.67268238106016,17,0
1832.8539204323504,0,0.15875092010618666,147.3285831305148,19,0
766.9125758927496,0,0.22599911082203586,152.18351595831192,22,0
1684.7286002633684,0,0.5603782255273668,94.5689492407973,1,0
2575.2024359985458,1,0.8861289242116542,294.65365069407113,7,1
876.8863450780984,0,0.36674010437239146,123.64085415891671,12,0
2087.655446304756,0,0.3981967998462308,116.60404757165112,22,0
603.18158412176,1,0.2830141328732576,64.546688163087,21,0
1659.5770868050008,0,0.5035535101597564,100.2411704404134,19,0
1700.2911590214892,0,0.36164312465012494,78.24517666077028,21,0
864.6898954616776,1,0.15837395138439778,37.3033545769972,14,0
1896.2326500321644,1,0.16453256241453149,144.52303706881747,19,0
1074.9767427005236,0,0.3684295732513092,82.75996212650446,22,0
1344.3468146399284,1,0.5682851090354196,182.43541288494254,8,0
1330.1609193856104,0,0.2541760608380994,-1.2746135099916387,2,0
